Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Critic_Score,User_Score
Candace Kane's Candy Factory,DS,2008,Action,Destineer,0.04,0.0,0.0,0.0,0.04,,
The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0.0,0.0,0.01,0.18000000000000002,71.0,8.2
Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02,,
Deal or No Deal: Special Edition,DS,2010,Misc,Zoo Games,0.04,0.0,0.0,0.0,0.04,,
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher,0.12,0.09,0.0,0.04,0.25,,
Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,,
JASF: Jane's Advanced Strike Fighters,PC,2011,Simulation,Deep Silver,0.02,0.01,0.0,0.0,0.03,48.0,3.1
Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.19,64.0,6.4
Imabikisou,PS3,2007,Adventure,Sega,0.0,0.0,0.04,0.0,0.04,,
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ,0.04,0.03,0.0,0.01,0.08,,
Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.8700000000000001,53.0,5.8
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.14,0.05,0.0,0.0,0.19,82.0,9.2
Mount & Blade,PC,2008,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.0,0.02,,
The Professor's Brain Trainer: Logic,DS,2005,Puzzle,505 Games,0.02,0.0,0.0,0.0,0.02,,
Zoids Dash,DS,2006,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0,0.02,,
Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.16,0.0,0.06,0.36000000000000004,,
Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04,89.0,9.0
